id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1260479963440058368,1260479963440058368,1589356816000,2020-05-13,13:30:16,IST,1844224638,modifornewindia,Modi 4 New India,,"वंदे भारत मिशन से विदेशों में फंसे भारतीयों की हो रही घर वापसी

पहले चरण के तहत अब तक 31 उड़ानों के जरिए 6,037 भारतीयों को वापस लाया गया।

16-22 मई से अभियान के दूसरे चरण में 31 देशों से भारतीयों को वापस लाने के लिए फीडर फ्लाइट सहित 149 फ्लाइट्स होंगी तैनात। pic.twitter.com/3SncstBKqw",[],[],['https://pbs.twimg.com/media/EX4f1ntWoAIP_CE.jpg'],0,0,1,[],[],https://twitter.com/ModiforNewIndia/status/1260479963440058368,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1260470003134013441,1260470003134013441,1589354441000,2020-05-13,12:50:41,IST,1844224638,modifornewindia,Modi 4 New India,,"Standard operating protocol to ensure safe rail travel

* Travel permitted on confirmed e-tickets only.
* Face covers/masks mandatory for all passengers.
* All passengers will have compulsory medical screening.

#IndiaFightsCorona pic.twitter.com/2XpEs4fL0W",[],[],['https://pbs.twimg.com/media/EX4Wx6yXQAUjTGE.jpg'],0,1,0,['#indiafightscorona'],[],https://twitter.com/ModiforNewIndia/status/1260470003134013441,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1260219091031384068,1260219091031384068,1589294619000,2020-05-12,20:13:39,IST,1844224638,modifornewindia,Modi 4 New India,,"एक राष्ट्र के रूप में आज हम एक बहुत ही अहम मोड़ पर खड़े हैं।
 
इतनी बड़ी आपदा भारत के लिए एक संकेत लेकर आई है, एक संदेश लेकर आई है, एक अवसर लेकर आई है: पीएम मोदी #AatmanirbharBharat #NarendraModi pic.twitter.com/tytuTs4jYL",[],[],['https://pbs.twimg.com/media/EX0yhypWoAANDOl.png'],0,1,4,"['#aatmanirbharbharat', '#narendramodi']",[],https://twitter.com/ModiforNewIndia/status/1260219091031384068,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1260216785162383363,1260216785162383363,1589294069000,2020-05-12,20:04:29,IST,1844224638,modifornewindia,Modi 4 New India,,LIVE: PM Shri @narendramodi 's address to the nation. https://www.pscp.tv/w/cYlZHzFZTEVKTlh4RG5ORU58MWVhS2JRTk1OdnZ4WDop46fA6CNI81YjKLhE8gttgr7dEjZBq2T4mbgJX_-r …,['narendramodi'],['https://www.pscp.tv/w/cYlZHzFZTEVKTlh4RG5ORU58MWVhS2JRTk1OdnZ4WDop46fA6CNI81YjKLhE8gttgr7dEjZBq2T4mbgJX_-r'],[],0,0,0,[],[],https://twitter.com/ModiforNewIndia/status/1260216785162383363,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,
1260080052261224448,1260080052261224448,1589261470000,2020-05-12,11:01:10,IST,1844224638,modifornewindia,Modi 4 New India,,"COVID-19 से लड़ने के लिए राज्यों को चिकित्सीय उपकरणों की पर्याप्त आपूर्ति सुनिश्चित कर रही मोदी सरकार।

#IndiaFightsCorona pic.twitter.com/hjD5iBY4xl",[],[],['https://pbs.twimg.com/media/EXy0HWpWkAMVkqV.jpg'],0,0,1,['#indiafightscorona'],[],https://twitter.com/ModiforNewIndia/status/1260080052261224448,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1260079395189985281,1260079395189985281,1589261313000,2020-05-12,10:58:33,IST,1844224638,modifornewindia,Modi 4 New India,,"वर्तमान में COVID चिकित्सा उपकरण पर्याप्त मात्रा में हैं उपलब्ध।

आईसीयू , वेंटिलेटर और ऑक्सिजन की श्रेणियों में बेड का प्रयोग 10% से भी कम है। pic.twitter.com/zF2Kf8siLl",[],[],['https://pbs.twimg.com/media/EXyzhQNWoAEBy9G.jpg'],0,0,0,[],[],https://twitter.com/ModiforNewIndia/status/1260079395189985281,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1260078844071075840,1260078844071075840,1589261182000,2020-05-12,10:56:22,IST,1844224638,modifornewindia,Modi 4 New India,,"COVID-19 की चुनौती के लिए पर्याप्त चिकित्सा सुविधाएं।

871 समर्पित कोविड अस्पतालों में 1.76 लाख से अधिक बेड और 2,077 स्वास्थ्य केंद्रों में 1.37 लाख से अधिक बेड उपलब्ध हैं।

भारत की प्रतिदिन कोरोना परीक्षण क्षमता 95,000। pic.twitter.com/OQFg28dvRy",[],[],['https://pbs.twimg.com/media/EXyzAeJWoAA9V9R.jpg'],0,0,2,[],[],https://twitter.com/ModiforNewIndia/status/1260078844071075840,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1259852153499328515,1259852153499328515,1589207134000,2020-05-11,19:55:34,IST,1844224638,modifornewindia,Modi 4 New India,,"Indian Railways is ready with 5,231 coaches in 215 identified stations as COVID Care Centers.

Over 2,500 doctors and 35,000 paramedic staff are deployed.

Railways producing own PPEs as well to protect its frontline workers.

#IndiaFightsCorona pic.twitter.com/9kqzVdPHkk",[],[],['https://pbs.twimg.com/media/EXvk1z-WsAI3257.jpg'],0,2,2,['#indiafightscorona'],[],https://twitter.com/ModiforNewIndia/status/1259852153499328515,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
1259851536756244480,1259851536756244480,1589206987000,2020-05-11,19:53:07,IST,1844224638,modifornewindia,Modi 4 New India,,"Prime Minister Shri @narendramodi  has been continuously promoting Khadi, resulting in unprecedented growth in production and sales of Khadi.

Khadi production has increased by 115% and sales 179% since 2015-16. pic.twitter.com/oM9Ngzjdig",['narendramodi'],[],['https://pbs.twimg.com/media/EXvkSabXkAAMuN3.jpg'],0,1,1,[],[],https://twitter.com/ModiforNewIndia/status/1259851536756244480,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,
1259850719659806725,1259850719659806725,1589206793000,2020-05-11,19:49:53,IST,1844224638,modifornewindia,Modi 4 New India,,"भारतीय रेलवे ने देश भर में चलाई 468 श्रमिक स्पेशल ट्रेनें

* 5.61 लाख से अधिक प्रवासियों को पहुंचाया जा रहा गंतव्य तक।
* प्रत्येक ट्रेन से लगभग 1200 यात्री करते हैं सफर।
* यात्रियों को मुफ्त भोजन और पानी के साथ समुचित स्‍क्रीनिंग की जा रही सुनिश्चित।

#IndiaFightsCorona pic.twitter.com/k5r0tI84wE",[],[],['https://pbs.twimg.com/media/EXvjeT-WoAIXOOj.jpg'],1,1,4,['#indiafightscorona'],[],https://twitter.com/ModiforNewIndia/status/1259850719659806725,False,,0,,,,,,,"[{'user_id': '1844224638', 'username': 'ModiforNewIndia'}]",,,,
